Bill Date,Days of Service,Total Usage (CCF),Bill Amount
05-01-2024,29,23,$47.76
04-02-2024,28,30,$56.96
03-05-2024,29,69,$105.28
02-05-2024,33,75,$91.76
01-04-2024,30,45,$77.15
12-04-2023,32,34,$55.36
11-02-2023,30,13,$39.50
10-03-2023,31,14,$38.95
08-31-2023,33,18,$40.61
08-01-2023,30,17,$40.09
06-30-2023,31,12,$35.89
06-01-2023,30,14,$37.45
05-02-2023,28,25,$44.34
04-03-2023,29,33,$58.00
03-03-2023,29,74,$103.95
02-02-2023,32,55,$100.29
01-04-2023,30,66,$106.60
12-02-2022,32,50,$83.68
11-02-2022,29,21,$48.12
10-04-2022,31,18,$47.38
09-01-2022,32,13,$42.51
08-02-2022,30,15,$44.76
07-01-2022,32,18,$46.60
06-02-2022,29,12,$41.03
05-03-2022,30,17,$46.13
04-01-2022,32,83,$122.29
03-02-2022,28,164,$182.26
02-02-2022,29,57,$79.46
01-05-2022,30,29,$66.75
12-03-2021,33,45,$70.24
11-02-2021,29,15,$39.04
10-04-2021,30,17,$39.69
09-02-2021,33,17,$36.72
08-03-2021,29,10,$30.63
07-02-2021,33,18,$36.87
06-03-2021,28,15,$33.04
